Name|Description|Advisor|Main stat change
Groin|Pulled your groin.|LeMom|-500
Fatigue|Averaging 45 minutes per game! LeTired!|Keith Dambrot|-200
CaughtLying|Caught Lying! NOOOO!|Bryce|-400
Diddy|Caught at Diddy party. NOOOOo!!! Lebron why??!|Curry|-1000
Hennesy|Start the day with the King inside you! Fuel up on the LeHennesy!|n/a|800
Taco|Taco Tuesday!!! Yay!|n/a|900
Three|Make three in a row with family!|n/a|500
Lyrics|Messed up the lyrics to a song!|Bryce|-500
Son|Play with your son in the NBA!|n/a|1000
Legacy|Constantinople just fell! How does this affect Lebron's legacy??|n/a|-1000
